,imdbid,title,year,genres,director,writer,cast,runtime,country,language,rating,plot
10,1958961,"""Lilyhammer"" (2012)",2012,"Comedy, Crime, Drama","Geir Henning Hopland, Simen Alsvik, ?ystein Karlsen, Ole Endresen, Lisa Marie Gamlem","Eilif Skodvin, Steven Van Zandt, Anne Bj?rnstad, Jadranko Mehic, Tomas Solli, Helena J. Nielsen","Steven Van Zandt (Frank Tagliano / ...), Trond Fausa (Torgeir Lien), Steinar Sagen (Roar Lien), Marian Saastad Ottesen (Sigrid Haugli), Tommy Karlsen (Arne / ...)",45,"Norway, USA","English, Norwegian",8.1 (12984 votes),Frank Tagliano (
11,1981677,Pitch Perfect (2012),2012,"Comedy, Music, Romance",Jason Moore,"Kay Cannon, Mickey Rapkin","Anna Kendrick (Beca), Skylar Astin (Jesse), Ben Platt (Benji Applebaum), Brittany Snow (Chloe), Anna Camp (Aubrey)",112,USA,English,7.3 (148355 votes),"The Barden Bellas are a collegiate, all-girls a cappella singing group thriving on female pop songs and their perfect looks. After a disastrous failing at last year's finals, they are forced to regroup. Among the new recruits is freshman Beca, an independent, aspiring DJ with no interest in the college life. But after she meets Jesse, from the rival all-male a cappella group, Beca has a new outlook and takes it upon herself to help the Bellas find their new look and sound and get back into the competition"
12,848228,"Avengers, The (2012)",2012,"Action, Adventure, Sci-Fi",Joss Whedon,"Joss Whedon, Zak Penn, Joss Whedon","Robert Downey Jr. (Tony Stark / Iron Man), Chris Evans (Steve Rogers / Captain America), Mark Ruffalo (Bruce Banner / The Hulk), Chris Hemsworth (Thor), Scarlett Johansson (Natasha Romanoff / Black Widow)",143,USA,"English, Russian",8.2 (739382 votes),"Nick Fury is director of S.H.I.E.L.D, an international peace keeping agency. The agency is a who's who of Marvel Super Heroes, with Iron Man, The Incredible Hulk, Thor, Captain America, Hawkeye and Black Widow. When global security is threatened by Loki and his cohorts, Nick Fury and his team will need all their powers to save the world from disaster"
13,1074638,Skyfall (2012),2012,"Action, Adventure",Sam Mendes,"Neal Purvis, Robert Wade, John Logan, Ian Fleming","Daniel Craig (James Bond), Judi Dench (M), Javier Bardem (Silva), Ralph Fiennes (Gareth Mallory), Naomie Harris (Eve)",143,"UK, USA",English,7.8 (417140 votes),"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory (Ralph Fiennes), the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve (Naomie Harris) - following a trail to the mysterious Silva (Javier Bardem), whose lethal and hidden motives have yet to reveal themselves"
14,2261391,"""Chicago Fire"" (2012)",2012,"Action, Drama","Joe Chappelle, Jean de Segonzac, Tom DiCillo, Steve Shill, Michael Slovis, Alex Chapple, Jann Turner, Sanford Bookstaver, Michael Brandt, Karen Gaviola, Alik Sakharov, Arthur W. Forney, Holly Dale","Michael Brandt, Derek Haas, Matt Olmstead, Andrea Newman, Michael Gilvary, Hilly Hicks Jr., Ryan Harris, Tim Talbott, Dick Wolf, Marc Dube","Jesse Spencer (Matthew Casey), Taylor Kinney (Kelly Severide), Monica Raymund (Gabriela Dawson), Charlie Barnett (Peter Mills), Yuri Sardarov (Otis)",43::(approx.),USA,English,7.8 (15725 votes),The story of firefighters in Chicago
15,1045658,Silver Linings Playbook (2012),2012,"Comedy, Drama, Romance",David O. Russell,"David O. Russell, Matthew Quick","Bradley Cooper (Pat), Jennifer Lawrence (Tiffany), Robert De Niro (Pat Sr.), Jacki Weaver (Dolores), Chris Tucker (Danny)",122,USA,English,7.9 (420717 votes),"Against medical advice and without the knowledge of her husband Pat Solatano Sr., caring Dolores Solatano discharges her adult son, Pat Solatano Jr., from a Maryland mental health institution after his minimum eight month court ordered stint. The condition of the release includes Pat Jr. moving back in with his parents in their Philadelphia home. Although Pat Jr.'s institutionalization was due to him beating up the lover of his wife Nikki, he was diagnosed with bipolar disorder. Nikki has since left him and has received a restraining order against him. Although he is on medication (which he doesn't take because of the way it makes him feel) and has mandatory therapy sessions, Pat Jr. feels like he can manage on the outside solely by healthy living and looking for the ""silver linings"" in his life. His goals are to get his old job back as a substitute teacher, but more importantly reunite with Nikki. He finds there are certain instances where he doesn't cope well, however no less so than some others who have never been institutionalized, such as his Philadelphia Eagles obsessed OCD father who has resorted to being a bookie to earn a living, his best friend Ronnie who quietly seethes over the control wielded by his wife Veronica, and Veronica's widowed sister, Tiffany Maxwell, a recovering sex addict. In their fragile mental states, Pat Jr. and Tiffany embark on a love/hate friendship based primarily on what help the other can provide in achieving their individual goals. But they may reevaluate their goals as their relationship progresses"
16,1232829,21 Jump Street (2012),2012,"Action, Comedy, Crime","Phil Lord, Christopher Miller","Michael Bacall, Michael Bacall, Jonah Hill, Patrick Hasburgh, Stephen J. Cannell","Jonah Hill (Schmidt), Channing Tatum (Jenko), Brie Larson (Molly Tracey), Dave Franco (Eric Molson), Rob Riggle (Mr. Walters)",109,USA,English,7.2 (309978 votes),"In high school, Schmidt ("
17,2281375,"""Nashville"" (2012)",2012,"Drama, Music","Stephen Cragg, Callie Khouri, Paul McCrane, Michael Waxman, Julie H?bert, Mario Van Peebles, Eric Stoltz, R.J. Cutler, Patrick R. Norris, Sanaa Hamri","Callie Khouri, Meredith Lavender, Marcie Ulin, David Gould, Dana Greenblatt, Wendy Calhoun, Debra Fordham, Dee Johnson, Todd Ellis Kessler, Monica Macer, Mollie Bickley St. John, David Handelman, Jason George, David Marshall Grant, Liz Tigelaar, Tyler Bensinger, Ben St. John","Connie Britton (Rayna Jaymes), Clare Bowen (Scarlett O'Connor), Eric Close (Teddy Conrad), Charles Esten (Deacon Claybourne), Hayden Panettiere (Juliette Barnes)",43::(approx.),USA,English,7.7 (12826 votes),"Set against the backdrop of the Nashville music scene, the new drama revolves around a 40-year-old superstar Rayna Jaymes, whose star begins fading. She is forced to team up with Juliette Barnes on tour in order to maintain her label's support for her latest record, whose sales have been underwhelming"
18,1723816,"""Girls"" (2012)",2012,"Comedy, Drama","Lena Dunham, Jesse Peretz, Richard Shepard, Jody Lee Lipes, Tricia Brock","Lena Dunham, Sarah Heyward, Deborah Schoeneman, Jennifer Konner, Judd Apatow, Bruce Eric Kaplan, Lesley Arfin, Murray Miller, Paul Simms","Lena Dunham (Hannah Horvath), Allison Williams (Marnie Michaels), Jemima Kirke (Jessa Johansson), Adam Driver (Adam Sackler), Zosia Mamet (Shoshanna Shapiro)",30,USA,English,7.5 (37136 votes),"The assorted humiliations, disasters and rare triumphs of four very different twenty-something girls: Hannah, an aspiring writer; Marnie, an art gallery assistant and cousins Jessa and Shoshanna"
19,1276104,Looper (2012),2012,"Action, Crime, Sci-Fi, Thriller",Rian Johnson,Rian Johnson,"Joseph Gordon-Levitt (Joe), Bruce Willis (Old Joe), Emily Blunt (Sara), Paul Dano (Seth), Noah Segan (Kid Blue)",119,"USA, China",English,7.5 (346880 votes),"In the year 2044, a man working for a group of killers called ""Loopers"" (they work for the mob and kill people who are sent blindfolded back in time from the year 2074 by their bosses) recognizes a victim as himself. He hesitates resulting in the escape of his older self"
20,3762918,# (2014),2014,"Short, Comedy",Doug Szczesny,"Patrick Jaouen, David Schneider, Doug Szczesny","Will Barber, Patrick Jaouen (Soldier), Sara Jaouen (Interogatee), Arzouma Kompaore (Interogatee), Doug Szczesny (Officer)",,USA,English,,
21,1951265,"Hunger Games: Mockingjay - Part 1, The (2014)",2014,"Adventure, Sci-Fi",Francis Lawrence,"Peter Craig, Danny Strong, Suzanne Collins, Suzanne Collins","Jennifer Lawrence (Katniss Everdeen), Josh Hutcherson (Peeta Mellark), Liam Hemsworth (Gale Hawthorne), Woody Harrelson (Haymitch Abernathy), Donald Sutherland (President Snow)",123,USA,English,7.2 (78442 votes),"With the Games now destroyed and in pieces, Katniss Everdeen, along with Gale, Finnick and Beetee, now end up in the so thought ""destroyed"" District 13. Under the leadership of President Coin and the advice of her friends, Katniss becomes the ""Mockingjay"" and the symbol of rebellion for the people"
22,816692,Interstellar (2014),2014,"Adventure, Sci-Fi",Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Ellen Burstyn (Murph), Matthew McConaughey (Cooper), Mackenzie Foy (Murph), John Lithgow (Donald), Timoth?e Chalamet (Tom)",169,"USA, UK",English,8.9 (329228 votes),"In the near future, Earth has been devastated by drought and famine, causing a scarcity in food and extreme changes in climate. When humanity is facing extinction, a mysterious rip in the space-time continuum is discovered, giving mankind the opportunity to widen its lifespan. A group of explorers must travel beyond our solar system in search of a planet that can sustain life. The crew of the Endurance are required to think bigger and go further than any human in history as they embark on an interstellar voyage into the unknown. Coop, the pilot of the Endurance, must decide between seeing his children again and the future of the human race"
23,2310332,"Hobbit: The Battle of the Five Armies, The (2014)",2014,"Adventure, Fantasy",Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson, Guillermo del Toro, J.R.R. Tolkien","Benedict Cumberbatch (Smaug / Necromancer), Lee Pace (Thranduil), Evangeline Lilly (Tauriel), Luke Evans (Bard), Richard Armitage (Thorin Oakenshield)",144,"New Zealand, USA",English,9.4 (5614 votes),Bilbo and Company are forced to engage in a war against an array of combatants and keep the terrifying Smaug from acquiring a kingdom of treasure and obliterating all of Middle-Earth
24,1790864,"Maze Runner, The (2014)",2014,"Action, Mystery, Sci-Fi, Thriller",Wes Ball,"Noah Oppenheim, Grant Pierce Myers, T.S. Nowlin, James Dashner","Dylan O'Brien (Thomas), Aml Ameen (Alby), Ki Hong Lee (Minho), Blake Cooper (Chuck), Thomas Brodie-Sangster (Newt)",113,"USA, UK, Canada",English,7.1 (98274 votes),"Thomas wakes up in an elevator, remembering nothing but his own name. He emerges into a world of about 60 teen boys who have learned to survive in a completely enclosed environment, subsisting on their own agriculture and supplies. A new boy arrives every 30 days. The original group has been in ""The Glade"" for two years, trying to find a way to escape through the Maze that surrounds their living space. They have begun to give up hope. Then a comatose girl arrives with a strange note, and their world begins to change. There are some great, fast-paced action scenes, particularly those involving the nightmarish Grievers who plague the boys"
25,1528100,Exodus: Gods and Kings (2014),2014,"Action, Adventure, Drama",Ridley Scott,"Adam Cooper, Bill Collage, Jeffrey Caine, Steven Zaillian","Christian Bale (Moses), Joel Edgerton (Rhamses), Aaron Paul (Joshua), Sigourney Weaver (Tuya), Mar?a Valverde (S?fora)",150,"UK, USA, Spain",English,6.9 (4287 votes),"Epic adventure Exodus: Gods and Kings is the story of one man's daring courage to take on the might of an empire. Using state of the art visual effects and 3D immersion, Scott brings new life to the story of the defiant leader Moses as he rises up against the Egyptian Pharaoh Ramses, setting 600,000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues"
26,2170439,Horrible Bosses 2 (2014),2014,Comedy,Sean Anders,"Sean Anders, John Morris, Jonathan M. Goldstein, John Francis Daley, Sean Anders, John Morris, Michael Markowitz","Jason Bateman (Nick Hendricks), Jason Sudeikis (Kurt Buckman), Charlie Day (Dale Arbus), Jennifer Aniston (D.D.S. Dr. Julia Harris), Kevin Spacey (Dave Harken)",108,USA,English,7.1 (9669 votes),"Fed up with answering to higher-ups, Nick, Dale and Kurt decide to become their own bosses by launching their own business. But a slick investor soon pulls the rug out from under them. Outplayed and desperate, and with no legal recourse, the three would-be entrepreneurs hatch a misguided plan to kidnap the investor's adult son and ransom him to regain control of their company"
27,2713180,Fury (2014),2014,"Action, Drama, War",David Ayer,David Ayer,"Brad Pitt (Don 'Wardaddy' Collier), Shia LaBeouf (Boyd 'Bible' Swan), Logan Lerman (Norman Ellison), Michael Pe?a (Trini 'Gordo' Garcia), Jon Bernthal (Grady 'Coon-Ass' Travis)",134,"UK, USA, China","English, German",7.9 (76358 votes),"April, 1945. As the Allies make their final push in the European Theatre, a battle-hardened army sergeant named Wardaddy (Brad Pitt) commands a Sherman tank and his five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany"
28,2015381,Guardians of the Galaxy (2014),2014,"Action, Adventure, Sci-Fi",James Gunn,"James Gunn, Nicole Perlman, Dan Abnett, Andy Lanning","Chris Pratt (Peter Quill), Zoe Saldana (Gamora), Dave Bautista (Drax), Vin Diesel (Groot), Bradley Cooper (Rocket)",121,"USA, UK",English,8.3 (310965 votes),"After stealing a mysterious orb in the far reaches of outer space, Peter Quill from Earth, is now the main target of a manhunt led by the villain known as Ronan the Accuser. To help fight Ronan and his team and save the galaxy from his power, Quill creates a team of space heroes known as the ""Guardians of the Galaxy"" to save the world"
29,2397535,Predestination (2014),2014,"Sci-Fi, Thriller","Michael Spierig, Peter Spierig","Michael Spierig, Peter Spierig, Robert A. Heinlein","Sarah Snook (The Unmarried Mother), Ethan Hawke (The Bartender), Noah Taylor (Mr. Robertson), Elise Jansen (Nurse), Freya Stafford (Alice)",97,Australia,English,7.5 (34446 votes),"PREDESTINATION chronicles the life of a Temporal Agent sent on an intricate series of time-travel journeys designed to ensure the continuation of his law enforcement career for all eternity. Now, on his final assignment, the Agent must pursue the one criminal that has eluded him throughout time"
30,3972398,Peter Pan Live! (2014) (TV),TV,"Adventure, Family, Fantasy, Musical","Rob Ashford, Glenn Weiss","J.M. Barrie, Irene Mecchi","Allison Williams (Peter Pan), Christian Borle (Mr. Smee / George Darling), Kelli O'Hara (Mrs. Darling), Taylor Louderman (Wendy Darling), Christopher Walken (Captain Hook)",131,USA,English,5.5 (938 votes),A live telecast of the beloved J. M. Barrie story
31,3107288,"""Flash, The"" (2014)",2014,"Action, Adventure, Drama, Fantasy, Sci-Fi","David Nutter, Glen Winter","Greg Berlanti, Andrew Kreisberg, Geoff Johns, Grainne Godfree, Aaron Helbing, Todd Helbing, Brooke Roberts, Alison Schapker","Grant Gustin (Barry Allen / ...), Candice Patton (Iris West), Danielle Panabaker (Caitlin Snow), Rick Cosnett (Eddie Thawne), Carlos Valdes (Cisco Ramon)",43,USA,English,8.3 (33210 votes),"Barry Allen is a Central City police forensic scientist with a reasonably happy life despite the childhood trauma of a mysterious yellow being killing his mother, and framing his father. All that changes when a massive particle accelerator accident leads to Barry being struck by lightning in his lab. Coming out of coma nine months later, Barry and his new friends at STAR labs find that he now has the ability to move at superhuman speed. Furthermore, Barry learns that he is but one of many affected by that event, most of whom are using their powers for evil. Determined to make a difference, Barry dedicates his life fighting such threats as The Flash. While he gains allies he never expected, there are also secret forces determined also to aid and manipulate him for their own agenda"
32,2872718,Nightcrawler (2014),2014,"Crime, Drama, Thriller",Dan Gilroy,Dan Gilroy,"Jake Gyllenhaal (Louis Bloom), Michael Papajohn (Security Guard), Marco Rodr?guez (Scrapyard Owner), Bill Paxton (Joe Loder), James Huang (Marcus Mayhem Video)",117,USA,English,8.1 (36289 votes),NIGHTCRAWLER is a thriller set in the nocturnal underbelly of contemporary Los Angeles
33,3749900,"""Gotham"" (2014)",2014,"Crime, Drama, Thriller","Danny Cannon, T.J. Scott","Bruno Heller, John Stephens, Ken Woodruff","Ben McKenzie (James Gordon), Zabryna Guevara (Sarah Essen), Robin Lord Taylor (Oswald Cobblepot), Erin Richards (Barbara Kean), Camren Bicondova (Selina Kyle)",42,USA,English,8.2 (40235 votes),"In crime ridden Gotham City, Thomas and Martha Wayne are murdered before young Bruce Wayne's eyes. Although the idealistic Gotham City Police Dept. detective James Gordon, and his cynical partner, Harvey Bullock, seem to solve the case quickly, things are not so simple. Inspired by Bruce's traumatized desire for justice, Gordon vows to find it amid Gotham's corruption. Thus begins Gordon's lonely quest that would set him against his own comrades and the underworld with their own deadly rivalries and mysteries. In the coming wars, innocence will be lost and compromises will be made as some criminals will fall as casualties while others will rise as supervillains. All the while, young Bruce observes this war with a growing obsession that would one day drive him to seek his own revenge as The Batman"
34,1911658,Penguins of Madagascar (2014),2014,"Animation, Adventure, Comedy, Family","Eric Darnell, Simon J. Smith","John Aboud, John Aboud, Michael Colton, Michael Colton, Eric Darnell, Tom McGrath, Brandon Sawyer, Alan J. Schoolcraft, Brent Simons","Tom McGrath (Skipper), Chris Miller (Kowalski), Christopher Knights (Private), Conrad Vernon (Rico), John Malkovich (Dave)",92,USA,English,7.2 (5437 votes),"Super spy teams aren't born...they're hatched. Discover the secrets of the greatest and most hilarious covert birds in the global espionage biz: Skipper, Kowalski, Rico and Private. These elitists of the elite are joining forces with a chic undercover organization, The North Wind. Led by handsome and husky Agent Classified (we could tell you his name, but then...you know). Together, they must stop the villainous Dr. Octavius Brine, from destroying the world as we know it"
35,2245084,Big Hero 6 (2014),2014,"Animation, Action, Adventure, Comedy, Family, Sci-Fi","Don Hall, Chris Williams","Jordan Roberts, Daniel Gerson, Robert L. Baird, Duncan Rouleau, Steven T. Seagle, Paul Briggs, Joseph Mateo","Scott Adsit (Baymax), Ryan Potter (Hiro), Daniel Henney (Tadashi), T.J. Miller (Fred), Jamie Chung (Go Go)",102,USA,English,8.3 (25146 votes),"From Walt Disney Animation Studios, the team behind ""Frozen"" and ""Wreck-It Ralph,"" comes ""Big Hero 6,"" an action-packed comedy-adventure about the special bond that develops between Baymax, a plus-sized inflatable robot, and prodigy Hiro Hamada. When a devastating event befalls the city of San Fransokyo and catapults Hiro into the midst of danger, he turns to Baymax and his close friends adrenaline junkie Go Go Tomago, neatnik Wasabi, chemistry whiz Honey Lemon and fanboy Fred. Determined to uncover the mystery, Hiro transforms his friends into a band of high-tech heroes called ""Big Hero 6."""
36,2980516,"Theory of Everything, The (2014)",2014,"Biography, Drama, Romance",James Marsh,"Anthony McCarten, Jane Hawking","Eddie Redmayne (Stephen Hawking), Felicity Jones (Jane Hawking), Tom Prior (Robert Hawking), Sophie Perry (Lucy Hawking), Finlay Wright-Stephens (Timothy Hawking)",123,UK,"English, French",7.7 (7679 votes),A look at the relationship between the famous physicist
37,2096672,Dumb and Dumber To (2014),2014,Comedy,"Bobby Farrelly, Peter Farrelly","Sean Anders, Mike Cerrone, Bobby Farrelly, Peter Farrelly, John Morris, Bennett Yellin","Jim Carrey (Lloyd Christmas), Jeff Daniels (Harry Dunne), Rob Riggle (Travis / Captain Lippincott), Laurie Holden (Adele), Rachel Melvin (Penny)",109,USA,English,6.7 (18582 votes),"It's been 20 years and Harry Dunn has found something out - he has a daughter! Lloyd Christmas, his equally dim witted friend, takes one look at a picture of her, develops a crush, and insists the two track her down. What ensues when Harry finally agrees is a bizarre encounter with an old lady and more hilarity because of their sheer stupidity"
38,3099498,Tusk (2014),2014,"Comedy, Drama, Horror",Kevin Smith,Kevin Smith,"Michael Parks (Howard Howe), Justin Long (Wallace Bryton), Genesis Rodriguez (Ally Leon), Haley Joel Osment (Teddy Craft), Johnny Depp (Guy Lapointe)",102,USA,English,6.0 (6735 votes),"When podcaster Wallace travels to canada to interview someone his plans don't go well and winds up meeting a strange man named Howe who has many stories to tell about is past life, during his interview he wakes up the next day finding out Howe isn't the person he thought he was, Howe has plans to surgically and mentally turn him into a walrus"
39,2180411,Into the Woods (2014),2014,"Comedy, Family, Fantasy, Musical",Rob Marshall,"James Lapine, Stephen Sondheim, James Lapine","Anna Kendrick (Cinderella), Johnny Depp (The Wolf), Chris Pine (Cinderella's Prince), Emily Blunt (The Baker's Wife), Meryl Streep (The Witch)",124,USA,English,,"Into the Woods is a modern twist on the beloved Brothers Grimm fairy tales in a musical format that follows the classic tales of Cinderella, Little Red Riding Hood, Jack and the Beanstalk, and Rapunzel-all tied together by an original story involving a baker and his wife, their wish to begin a family and their interaction with the witch who has put a curse on them"
